x,y,gamma
-0.376395,-0.238773,-0.140358
-0.384277,-0.231809,-0.0798009
-0.369231,-0.249173,-0.0608487
-0.411973,-0.217545,-0.050604
-0.385205,-0.220203,-0.0438969
-0.407999,-0.193276,-0.0390385
-0.425195,-0.195434,-0.0352904
-0.38037,-0.213891,-0.0322714
-0.386941,-0.264457,-0.0297617
-0.327452,-0.278912,-0.0276248
-0.31673,-0.229916,-0.0257704
-0.354384,-0.20187,-0.0241363
-0.382576,-0.281759,-0.0226779
-0.327715,-0.174086,-0.0213623
-0.446872,-0.192593,-0.0201647
-0.364204,-0.318598,-0.0190658
-0.290628,-0.260149,-0.0180505
-0.341955,-0.127453,-0.0171067
-0.446621,-0.147782,-0.0162247
-0.495393,-0.240164,-0.0153962
-0.433642,-0.347779,-0.0146148
-0.33118,-0.358345,-0.0138746
-0.255368,-0.298202,-0.0131711
-0.232733,-0.1975,-0.0125
-0.269397,-0.108349,-0.0118581
-0.334872,-0.0571229,-0.0112421
-0.410722,-0.0435448,-0.0106495
-0.482723,-0.0640118,-0.0100781
-0.541003,-0.110312,-0.00952561
-0.580311,-0.173738,-0.00899039
-0.598386,-0.245166,-0.00847076
-0.596869,-0.316103,-0.00796528
-0.580358,-0.380658,-0.00747265
-0.554249,-0.436529,-0.00699167
-0.522677,-0.483834,-0.00652126
-0.488321,-0.523589,-0.00606044
-0.452801,-0.557012,-0.00560829
-0.417024,-0.585229,-0.00516398
-0.381458,-0.609172,-0.00472672
-0.346315,-0.629574,-0.00429579
-0.311668,-0.646997,-0.0038705
-0.277516,-0.661868,-0.00345022
-0.243823,-0.674509,-0.00303433
-0.210533,-0.685167,-0.00262225
-0.177588,-0.694027,-0.00221343
-0.144927,-0.70123,-0.00180733
-0.112493,-0.706882,-0.00140344
-0.0802316,-0.711059,-0.00100125
-0.0480913,-0.713815,-0.00060027
-0.0160225,-0.715185,-0.00020001
0.0160225,-0.715185,0.00020001
0.0480913,-0.713815,0.00060027
0.0802316,-0.711059,0.00100125
0.112493,-0.706882,0.00140344
0.144927,-0.70123,0.00180733
0.177588,-0.694027,0.00221343
0.210533,-0.685167,0.00262225
0.243823,-0.674509,0.00303433
0.277516,-0.661868,0.00345022
0.311668,-0.646997,0.0038705
0.346315,-0.629574,0.00429579
0.381458,-0.609172,0.00472672
0.417024,-0.585229,0.00516398
0.452801,-0.557012,0.00560829
0.488321,-0.523589,0.00606044
0.522677,-0.483834,0.00652126
0.554249,-0.436529,0.00699167
0.580358,-0.380658,0.00747265
0.596869,-0.316103,0.00796528
0.598386,-0.245166,0.00847076
0.580311,-0.173738,0.00899039
0.541003,-0.110312,0.00952561
0.482723,-0.0640118,0.0100781
0.410722,-0.0435448,0.0106495
0.334872,-0.0571229,0.0112421
0.269397,-0.108349,0.0118581
0.232733,-0.1975,0.0125
0.255368,-0.298202,0.0131711
0.33118,-0.358345,0.0138746
0.433642,-0.347779,0.0146148
0.495393,-0.240164,0.0153962
0.446621,-0.147782,0.0162247
0.341955,-0.127453,0.0171067
0.290628,-0.260149,0.0180505
0.364204,-0.318598,0.0190658
0.446872,-0.192593,0.0201647
0.327715,-0.174086,0.0213623
0.382576,-0.281759,0.0226779
0.354384,-0.20187,0.0241363
0.31673,-0.229916,0.0257704
0.327452,-0.278912,0.0276248
0.386941,-0.264457,0.0297617
0.38037,-0.213891,0.0322714
0.425195,-0.195434,0.0352904
0.407999,-0.193276,0.0390385
0.385205,-0.220203,0.0438969
0.411973,-0.217545,0.050604
0.369231,-0.249173,0.0608487
0.384277,-0.231809,0.0798009
0.376395,-0.238773,0.140358
