x,y,gamma
-0.418142,0.00716295,-0.140358
-0.424158,0.00846518,-0.0798009
-0.430239,0.010602,-0.0608487
-0.438098,0.000568105,-0.050604
-0.425795,-0.018812,-0.0438969
-0.399314,-0.0133261,-0.0390385
-0.388665,0.0134067,-0.0352904
-0.400432,0.0401149,-0.0322714
-0.426667,0.0525973,-0.0297617
-0.455207,0.0465199,-0.0276248
-0.475994,0.0254433,-0.0257704
-0.484393,-0.00330562,-0.0241363
-0.480765,-0.0326033,-0.0226779
-0.468677,-0.0579184,-0.0213623
-0.452205,-0.0779553,-0.0201647
-0.43418,-0.0933122,-0.0190658
-0.416096,-0.105109,-0.0180505
-0.398582,-0.114352,-0.0171067
-0.381826,-0.121777,-0.0162247
-0.365826,-0.127891,-0.0153962
-0.350511,-0.133034,-0.0146148
-0.335791,-0.137435,-0.0138746
-0.321579,-0.141255,-0.0131711
-0.307802,-0.144606,-0.0125
-0.294394,-0.147571,-0.0118581
-0.281303,-0.150212,-0.0112421
-0.268486,-0.152575,-0.0106495
-0.255906,-0.1547,-0.0100781
-0.243532,-0.156614,-0.00952561
-0.231339,-0.158344,-0.00899039
-0.219305,-0.15991,-0.00847076
-0.207411,-0.161328,-0.00796528
-0.195642,-0.162613,-0.00747265
-0.183984,-0.163778,-0.00699167
-0.172425,-0.164834,-0.00652126
-0.160952,-0.165788,-0.00606044
-0.149558,-0.16665,-0.00560829
-0.138234,-0.167427,-0.00516398
-0.126971,-0.168124,-0.00472672
-0.115763,-0.168747,-0.00429579
-0.104603,-0.169301,-0.0038705
-0.0934857,-0.169789,-0.00345022
-0.082405,-0.170214,-0.00303433
-0.0713561,-0.170581,-0.00262225
-0.0603341,-0.170891,-0.00221343
-0.0493344,-0.171146,-0.00180733
-0.0383528,-0.171348,-0.00140344
-0.0273851,-0.171498,-0.00100125
-0.0164271,-0.171598,-0.00060027
-0.00547506,-0.171647,-0.00020001
0.00547506,-0.171647,0.00020001
0.0164271,-0.171598,0.00060027
0.0273851,-0.171498,0.00100125
0.0383528,-0.171348,0.00140344
0.0493344,-0.171146,0.00180733
0.0603341,-0.170891,0.00221343
0.0713561,-0.170581,0.00262225
0.082405,-0.170214,0.00303433
0.0934857,-0.169789,0.00345022
0.104603,-0.169301,0.0038705
0.115763,-0.168747,0.00429579
0.126971,-0.168124,0.00472672
0.138234,-0.167427,0.00516398
0.149558,-0.16665,0.00560829
0.160952,-0.165788,0.00606044
0.172425,-0.164834,0.00652126
0.183984,-0.163778,0.00699167
0.195642,-0.162613,0.00747265
0.207411,-0.161328,0.00796528
0.219305,-0.15991,0.00847076
0.231339,-0.158344,0.00899039
0.243532,-0.156614,0.00952561
0.255906,-0.1547,0.0100781
0.268486,-0.152575,0.0106495
0.281303,-0.150212,0.0112421
0.294394,-0.147571,0.0118581
0.307802,-0.144606,0.0125
0.321579,-0.141255,0.0131711
0.335791,-0.137435,0.0138746
0.350511,-0.133034,0.0146148
0.365826,-0.127891,0.0153962
0.381826,-0.121777,0.0162247
0.398582,-0.114352,0.0171067
0.416096,-0.105109,0.0180505
0.43418,-0.0933122,0.0190658
0.452205,-0.0779553,0.0201647
0.468677,-0.0579184,0.0213623
0.480765,-0.0326033,0.0226779
0.484393,-0.00330562,0.0241363
0.475994,0.0254433,0.0257704
0.455207,0.0465199,0.0276248
0.426667,0.0525973,0.0297617
0.400432,0.0401149,0.0322714
0.388665,0.0134067,0.0352904
0.399314,-0.0133261,0.0390385
0.425795,-0.018812,0.0438969
0.438098,0.000568105,0.050604
0.430239,0.010602,0.0608487
0.424158,0.00846518,0.0798009
0.418142,0.00716295,0.140358
