x,y,gamma
-0.385527,-0.156796,-0.140358
-0.382079,-0.164274,-0.0798009
-0.375168,-0.15516,-0.0608487
-0.350051,-0.192191,-0.050604
-0.392552,-0.14471,-0.0438969
-0.416276,-0.165003,-0.0390385
-0.388132,-0.182956,-0.0352904
-0.352968,-0.195875,-0.0322714
-0.355199,-0.140291,-0.0297617
-0.432861,-0.205505,-0.0276248
-0.337987,-0.195538,-0.0257704
-0.382944,-0.107946,-0.0241363
-0.442315,-0.194879,-0.0226779
-0.342093,-0.225591,-0.0213623
-0.305432,-0.130649,-0.0201647
-0.403053,-0.0780983,-0.0190658
-0.473625,-0.145203,-0.0180505
-0.457771,-0.235957,-0.0171067
-0.374002,-0.280362,-0.0162247
-0.295276,-0.245326,-0.0153962
-0.257362,-0.164877,-0.0146148
-0.275667,-0.0806306,-0.0138746
-0.331082,-0.0266267,-0.0131711
-0.398529,-0.00984772,-0.0125
-0.463935,-0.0243211,-0.0118581
-0.517958,-0.0643367,-0.0112421
-0.553351,-0.120874,-0.0106495
-0.568779,-0.183954,-0.0100781
-0.566705,-0.245787,-0.00952561
-0.551843,-0.301591,-0.00899039
-0.528893,-0.349669,-0.00847076
-0.501504,-0.390163,-0.00796528
-0.472079,-0.424081,-0.00747265
-0.442,-0.452605,-0.00699167
-0.411994,-0.476781,-0.00652126
-0.382408,-0.497447,-0.00606044
-0.353384,-0.515249,-0.00560829
-0.324952,-0.530677,-0.00516398
-0.297085,-0.544102,-0.00472672
-0.269733,-0.555804,-0.00429579
-0.242836,-0.565996,-0.0038705
-0.216335,-0.574843,-0.00345022
-0.19017,-0.58247,-0.00303433
-0.164289,-0.588975,-0.00262225
-0.138643,-0.594434,-0.00221343
-0.113189,-0.598906,-0.00180733
-0.0878852,-0.602434,-0.00140344
-0.0626957,-0.605054,-0.00100125
-0.037586,-0.606788,-0.00060027
-0.0125235,-0.607651,-0.00020001
0.0125235,-0.607651,0.00020001
0.037586,-0.606788,0.00060027
0.0626957,-0.605054,0.00100125
0.0878852,-0.602434,0.00140344
0.113189,-0.598906,0.00180733
0.138643,-0.594434,0.00221343
0.164289,-0.588975,0.00262225
0.19017,-0.58247,0.00303433
0.216335,-0.574843,0.00345022
0.242836,-0.565996,0.0038705
0.269733,-0.555804,0.00429579
0.297085,-0.544102,0.00472672
0.324952,-0.530677,0.00516398
0.353384,-0.515249,0.00560829
0.382408,-0.497447,0.00606044
0.411994,-0.476781,0.00652126
0.442,-0.452605,0.00699167
0.472079,-0.424081,0.00747265
0.501504,-0.390163,0.00796528
0.528893,-0.349669,0.00847076
0.551843,-0.301591,0.00899039
0.566705,-0.245787,0.00952561
0.568779,-0.183954,0.0100781
0.553351,-0.120874,0.0106495
0.517958,-0.0643367,0.0112421
0.463935,-0.0243211,0.0118581
0.398529,-0.00984772,0.0125
0.331082,-0.0266267,0.0131711
0.275667,-0.0806306,0.0138746
0.257362,-0.164877,0.0146148
0.295276,-0.245326,0.0153962
0.374002,-0.280362,0.0162247
0.457771,-0.235957,0.0171067
0.473625,-0.145203,0.0180505
0.403053,-0.0780983,0.0190658
0.305432,-0.130649,0.0201647
0.342093,-0.225591,0.0213623
0.442315,-0.194879,0.0226779
0.382944,-0.107946,0.0241363
0.337987,-0.195538,0.0257704
0.432861,-0.205505,0.0276248
0.355199,-0.140291,0.0297617
0.352968,-0.195875,0.0322714
0.388132,-0.182956,0.0352904
0.416276,-0.165003,0.0390385
0.392552,-0.14471,0.0438969
0.350051,-0.192191,0.050604
0.375168,-0.15516,0.0608487
0.382079,-0.164274,0.0798009
0.385527,-0.156796,0.140358
